127.0.0.1, 2013-08-29 13:24:06, GET, /, HTTP/1.1, 303, 0.001756
127.0.0.1, 2013-08-29 13:24:08, GET, /welcome/default/index, HTTP/1.1, 200, 1.821332
127.0.0.1, 2013-08-29 13:24:08, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002711
127.0.0.1, 2013-08-29 13:24:08, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.005699
127.0.0.1, 2013-08-29 13:24:08, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002748
127.0.0.1, 2013-08-29 13:24:08, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.005863
127.0.0.1, 2013-08-29 13:24:08, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004601
127.0.0.1, 2013-08-29 13:24:08, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.006508
127.0.0.1, 2013-08-29 13:24:08, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000968
127.0.0.1, 2013-08-29 13:24:08, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.002366
127.0.0.1, 2013-08-29 13:24:08, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000994
127.0.0.1, 2013-08-29 13:24:08, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000276
127.0.0.1, 2013-08-29 13:24:09, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000501
127.0.0.1, 2013-08-29 13:24:09, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000962
127.0.0.1, 2013-08-29 13:24:09, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000609
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/default/index, HTTP/1.1, 200, 0.399454
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000524
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.001414
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.004734
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000403
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.006296
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.003344
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000262
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000231
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000276
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000311
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.000998
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.002624
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.002399
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.003072
127.0.0.1, 2013-08-29 13:24:18, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.001587
127.0.0.1, 2013-08-29 13:24:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000554
127.0.0.1, 2013-08-29 13:24:20, POST, /admin/default/index, HTTP/1.1, 303, 0.024533
127.0.0.1, 2013-08-29 13:24:20, GET, /admin/default/site, HTTP/1.1, 200, 0.049201
127.0.0.1, 2013-08-29 13:24:20, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.001836
127.0.0.1, 2013-08-29 13:24:20, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.000605
127.0.0.1, 2013-08-29 13:24:20, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000535
127.0.0.1, 2013-08-29 13:24:20, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.001643
127.0.0.1, 2013-08-29 13:24:20, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.000463
127.0.0.1, 2013-08-29 13:24:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000358
127.0.0.1, 2013-08-29 13:24:34, GET, /admin/default/twitter, HTTP/1.1, 200, 13.703608
