127.0.0.1, 2013-09-23 19:20:51, GET, /, HTTP/1.1, 303, 0.000739
127.0.0.1, 2013-09-23 19:20:53, GET, /welcome/default/index, HTTP/1.1, 200, 1.137502
127.0.0.1, 2013-09-23 19:21:05, GET, /welcome/static/css/index, HTTP/1.1, 404, 0.000293
127.0.0.1, 2013-09-23 19:21:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000440
127.0.0.1, 2013-09-23 19:21:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.023377
127.0.0.1, 2013-09-23 19:21:14, GET, /admin/default/index, HTTP/1.1, 200, 0.343724
127.0.0.1, 2013-09-23 19:21:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2013-09-23 19:21:16, POST, /admin/default/index, HTTP/1.1, 500, 0.167237
127.0.0.1, 2013-09-23 19:21:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
127.0.0.1, 2013-09-23 19:21:19, GET, /admin/default/ticket/admin/127.0.0.1.2013-09-23.19-21-16.b1d37473-e769-432d-bf9a-b629a7846631, HTTP/1.1, 303, 0.006404
127.0.0.1, 2013-09-23 19:21:19, GET, /admin/default/index, HTTP/1.1, 200, 0.028991
127.0.0.1, 2013-09-23 19:21:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000287
127.0.0.1, 2013-09-23 19:21:22, POST, /admin/default/index, HTTP/1.1, 500, 0.044075
127.0.0.1, 2013-09-23 19:21:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000336
127.0.0.1, 2013-09-23 19:21:24, GET, /admin/default/ticket/admin/127.0.0.1.2013-09-23.19-21-22.6815ed24-0bec-47ed-8206-e1c274f62821, HTTP/1.1, 303, 0.002702
127.0.0.1, 2013-09-23 19:21:24, GET, /admin/default/index, HTTP/1.1, 200, 0.020158
127.0.0.1, 2013-09-23 19:21:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000321
127.0.0.1, 2013-09-23 19:21:48, GET, /, HTTP/1.1, 303, 0.001134
127.0.0.1, 2013-09-23 19:21:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.058706
127.0.0.1, 2013-09-23 19:21:50, GET, /admin/default/index, HTTP/1.1, 200, 0.071125
127.0.0.1, 2013-09-23 19:21:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000288
127.0.0.1, 2013-09-23 19:21:53, POST, /admin/default/index, HTTP/1.1, 500, 0.070929
127.0.0.1, 2013-09-23 19:21:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000290
127.0.0.1, 2013-09-23 19:21:54, GET, /admin/default/ticket/admin/127.0.0.1.2013-09-23.19-21-52.6b6552ff-ffbc-4b2b-be2b-c47b7836b1e8, HTTP/1.1, 303, 0.006706
127.0.0.1, 2013-09-23 19:21:54, GET, /admin/default/index, HTTP/1.1, 200, 0.024274
127.0.0.1, 2013-09-23 19:21:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000539
127.0.0.1, 2013-09-23 19:22:32, POST, /admin/default/index, HTTP/1.1, 500, 0.043063
127.0.0.1, 2013-09-23 19:22:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
127.0.0.1, 2013-09-23 19:22:34, GET, /admin/default/ticket/admin/127.0.0.1.2013-09-23.19-22-32.e4b388f3-7c40-484a-92c7-e96d74af8b0a, HTTP/1.1, 303, 0.002953
127.0.0.1, 2013-09-23 19:22:34, GET, /admin/default/index, HTTP/1.1, 200, 0.024352
127.0.0.1, 2013-09-23 19:22:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000543
127.0.0.1, 2013-09-23 19:22:49, GET, /, HTTP/1.1, 303, 0.001847
127.0.0.1, 2013-09-23 19:22:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.050358
127.0.0.1, 2013-09-23 19:22:51, GET, /admin/default/index, HTTP/1.1, 200, 0.072645
127.0.0.1, 2013-09-23 19:22:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
127.0.0.1, 2013-09-23 19:22:53, POST, /admin/default/index, HTTP/1.1, 500, 0.066552
127.0.0.1, 2013-09-23 19:22:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000322
127.0.0.1, 2013-09-23 19:22:55, GET, /admin/default/ticket/admin/127.0.0.1.2013-09-23.19-22-53.92cae720-8c94-42d6-a49d-290d9214e6bb, HTTP/1.1, 303, 0.006644
127.0.0.1, 2013-09-23 19:22:55, GET, /admin/default/index, HTTP/1.1, 200, 0.021750
127.0.0.1, 2013-09-23 19:22:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000489
127.0.0.1, 2013-09-23 19:23:00, POST, /admin/default/index, HTTP/1.1, 500, 0.048862
127.0.0.1, 2013-09-23 19:23:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000534
127.0.0.1, 2013-09-23 19:23:13, GET, /Gordian_Knot/, HTTP/1.1, 404, 0.000996
127.0.0.1, 2013-09-23 19:23:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000582
127.0.0.1, 2013-09-23 19:23:29, POST, /admin/default/index, HTTP/1.1, 500, 0.048236
127.0.0.1, 2013-09-23 19:23:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
127.0.0.1, 2013-09-23 19:23:30, GET, /admin/default/index, HTTP/1.1, 200, 0.025234
127.0.0.1, 2013-09-23 19:23:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000522
127.0.0.1, 2013-09-23 19:23:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.026217
127.0.0.1, 2013-09-23 19:23:43, GET, /Gordian_Know/default/index, HTTP/1.1, 404, 0.000768
127.0.0.1, 2013-09-23 19:23:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000257
127.0.0.1, 2013-09-23 19:23:47, GET, /Gordian_Knowtdefault/index, HTTP/1.1, 404, 0.001015
127.0.0.1, 2013-09-23 19:23:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000504
127.0.0.1, 2013-09-23 19:23:53, GET, /Gordian_Knot/default/index, HTTP/1.1, 404, 0.000961
127.0.0.1, 2013-09-23 19:23:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000300
127.0.0.1, 2013-09-23 19:23:56, GET, /Gordian_knot/default/index, HTTP/1.1, 404, 0.000973
127.0.0.1, 2013-09-23 19:23:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000552
